 light_dir_col                                     : Directional Colour
 light_dir_mult                                    : Directional Intensity
 light_directional_amb_col                         : Directional Ambient - Colour
 light_directional_amb_intensity                   : Directional Ambient - Intensity
 light_directional_amb_intensity_mult              : Directional Ambient - Intensity Mult
 light_directional_amb_bounce_enabled              : Directional Ambient - Enable Bounce
 light_amb_down_wrap                               : Ambient - Down Wrap
 light_natural_amb_down_col                        : Natural Ambient - Down Colour
 light_natural_amb_down_intensity                  : Natural Ambient - Down Intensity
 light_natural_amb_up_col                          : Natural Ambient - Base Colour
 light_natural_amb_up_intensity                    : Natural Ambient - Base Intensity
 light_natural_amb_up_intensity_mult               : Natural Ambient - Base Intensity Mult
 light_natural_push                                : Natural Ambient Push
 light_ambient_bake_ramp                           : Natural/Artificial Ambient Ramp
 light_artificial_int_down_col                     : Artificial Interior Ambient - Down Colour
 light_artificial_int_down_intensity               : Artificial Interior Ambient - Down Intensity
 light_artificial_int_up_col                       : Artificial Interior Ambient - Base Colour
 light_artificial_int_up_intensity                 : Artificial Interior Ambient - Base Intensity
 light_artificial_ext_down_col                     : Artificial Exterior Ambient - Down Colour
 light_artificial_ext_down_intensity               : Artificial Exterior Ambient - Down Intensity
 light_artificial_ext_up_col                       : Artificial Exterior Ambient - Base Colour
 light_artificial_ext_up_intensity                 : Artificial Exterior Ambient - Base Intensity
 ped_light_col                                     : Ped Light Colour
 ped_light_mult                                    : Ped Light Intensity
 ped_light_direction_x                             : Ped Light Direction X
 ped_light_direction_y                             : Ped Light Direction Y
 ped_light_direction_z                             : Ped Light Direction Z
 light_amb_occ_mult                                : Ambient Occlusion Multiplier
 light_amb_occ_mult_ped                            : Ped AO Multiplier
 light_amb_occ_mult_veh                            : Vehicle AO Multiplier
 light_amb_occ_mult_prop                           : Prop AO Multiplier
 light_amb_volumes_in_diffuse                      : Ambient volumes in diffuse
 ssao_inten                                        : SSAO Intensity
 ssao_type                                         : SSAO Type
 ssao_cp_strength                                  : SSAO cp strength
 ssao_qs_strength                                  : SSAO qs strength
 light_ped_rim_mult                                : Ped Rim Multiplier
 light_dynamic_bake_tweak                          : Dynamic Bake Tweak
 light_vehicle_second_spec_override                : Vehicle 2nd Spec override
 light_vehicle_intenity_scale                      : Vehicle Intensity Scale
 light_direction_override                          : Light Position Override
 light_direction_override_overrides_sun            : Light Position Override Override Sun
 sun_direction_x                                   : Sun Position X
 sun_direction_y                                   : Sun Position Y
 sun_direction_z                                   : Sun Position Z
 moon_direction_x                                  : Moon Position X
 moon_direction_y                                  : Moon Position Y
 moon_direction_z                                  : Moon Position Z
 light_ray_col                                     : Lightrays Colour
 light_ray_mult                                    : Lightrays Intensity
 light_ray_underwater_mult                         : Underwater Lightrays Intensity
 light_ray_dist                                    : Lightrays Distance
 light_ray_heightfalloff                           : Lightrays HeightFallOff
 light_ray_height_falloff_start                    : Lightrays Height FallOffStart
 light_ray_add_reducer                             : Lightray Addative Reducer
 light_ray_blit_size                               : Lightray Blit Size
 light_ray_length                                  : Lightray Ray Length
 postfx_exposure                                   : Exposure Tweak
 postfx_exposure_min                               : Exposure Min
 postfx_exposure_max                               : Exposure Max
 postfx_bright_pass_thresh_width                   : Bright Pass Threshold (Width)
 postfx_bright_pass_thresh                         : Bright Pass Threshold (Max)
 postfx_intensity_bloom                            : Intensity Bloom
 postfx_correct_col                                : Color Correction
 postfx_correct_cutoff                             : Color Correction Upper Cutoff
 postfx_shift_col                                  : Color Shift
 postfx_shift_cutoff                               : Color Shift Upper Cutoff
 postfx_desaturation                               : Desaturation
 postfx_noise                                      : Noise
 postfx_noise_size                                 : Noise Size
 postfx_tonemap_filmic_override_dark               : Override dark settings
 postfx_tonemap_filmic_exposure_dark               : Dark Filmic Tonemap Exposure
 postfx_tonemap_filmic_a                           : Dark Filmic Tonemap A
 postfx_tonemap_filmic_c                           : Dark Filmic Tonemap C
 postfx_tonemap_filmic_d                           : Dark Filmic Tonemap D
 postfx_tonemap_filmic_e                           : Dark Filmic Tonemap E
 postfx_tonemap_filmic_f                           : Dark Filmic Tonemap F
 postfx_tonemap_filmic_w                           : Dark Filmic Tonemap W
 postfx_tonemap_filmic_override_bright             : Override bright settings
 postfx_tonemap_filmic_exposure_bright             : Bright Filmic Tonemap Exposure
 postfx_tonemap_filmic_a_bright                    : Bright Filmic Tonemap A
 postfx_tonemap_filmic_b_bright                    : Bright Filmic Tonemap B
 postfx_tonemap_filmic_c_bright                    : Bright Filmic Tonemap C
 postfx_tonemap_filmic_d_bright                    : Bright Filmic Tonemap D
 postfx_tonemap_filmic_e_bright                    : Bright Filmic Tonemap E
 postfx_tonemap_filmic_f_bright                    : Bright Filmic Tonemap F
 postfx_tonemap_filmic_w_bright                    : Bright Filmic Tonemap W
 postfx_vignetting_intensity                       : Vignetting Intensity
 postfx_vignetting_radius                          : Vignetting Radius
 postfx_vignetting_contrast                        : Vignetting Contrast
 postfx_vignetting_col                             : Vignetting Colour
 postfx_grad_top_col                               : Gradient Top Colour
 postfx_grad_middle_col                            : Gradient Middle Colour
 postfx_grad_bottom_col                            : Gradient Bottom Colour
 postfx_grad_midpoint                              : Gradient Midpoint
 postfx_grad_top_middle_midpoint                   : Gradient Top-Middle Midpoint
 postfx_grad_middle_bottom_midpoint                : Gradient Middle-Bottom Midpoint
 postfx_scanlineintensity                          : Scanline Intensity
 postfx_scanline_frequency_0                       : Scanline Frequency 0
 postfx_scanline_frequency_1                       : Scanline Frequency 1
 postfx_scanline_speed                             : Scanline Speed
 postfx_motionblurlength                           : Motion Blur Length
 dof_far                                           : DOF Far
 dof_blur_mid                                      : DOF Mid Blur
 dof_blur_far                                      : DOF Far Blur
 dof_enable_hq                                     : Enable HQ DOF
 dof_hq_smallblur                                  : HQ DOF uses Small Blur
